salario,idade,tempo_na_empresa,nota_media,qtd_beneficios,cargo,setor
1200.0,19.0,0.0,0.0,5,Administrador do Sistema,Administração
20000.0,19.318144919886063,0.0,10.0,6,Analista de RH,Tecnologia
20000.0,19.0,0.0,0.0,6,Analista de RH,Operações
8886.885236877122,19.0,68.0,10.0,6,Analista de RH,Recursos Humanos
20000.0,26.174364634396568,68.0,0.9247925047762111,6,Analista de RH,Administração
1200.0,87.0,68.0,0.0,6,Analista de RH,Tecnologia
15113.151575855765,19.0,0.0,7.186149065859182,6,Analista de RH,Operações
3602.61126510707,87.0,68.0,10.0,6,Analista de RH,Tecnologia
1200.0,87.0,68.0,10.0,6,Analista de RH,Recursos Humanos
2908.403569842698,87.0,60.339721877621024,6.692135812496139,3,Funcionário,Administração
20000.0,19.0,68.0,0.0,3,Funcionário,Administração
1200.0,87.0,0.0,10.0,3,Funcionário,Administração
7094.388369156894,19.0,0.0,6.658703086109148,6,Analista de RH,Operações
20000.0,87.0,0.0,0.0,6,Analista de RH,Administração
20000.0,19.0,0.0,10.0,3,Funcionário,Operações
7539.723726798324,87.0,0.0,0.0,6,Analista de RH,Tecnologia
1200.0,19.0,68.0,0.0,6,Analista de RH,Administração
20000.0,87.0,0.0,5.701804991729162,3,Funcionário,Operações
1200.0,19.0,0.0,5.747467884953847,3,Funcionário,Tecnologia
1200.0,19.0,0.0,1.4432422033302807,3,Funcionário,Tecnologia
1200.0,87.0,56.58019798028455,10.0,6,Analista de RH,Administração
1705.5200187057176,19.0,68.0,0.0,3,Funcionário,Operações
18097.761845962883,87.0,0.0,10.0,6,Analista de RH,Recursos Humanos
20000.0,82.9056755338107,68.0,0.0,3,Funcionário,Tecnologia
1200.0,84.909468448703,68.0,0.0,3,Funcionário,Administração
20000.0,87.0,68.0,0.0,3,Funcionário,Tecnologia
11787.387366181096,87.0,68.0,0.0,3,Funcionário,Operações
13331.012969968888,87.0,43.864183377319385,2.6478762902009483,3,Funcionário,Recursos Humanos
